GVOG	num_species_with_GVOG	consensus_NOG	nog_category_abbr	nog_category	nog_description	proteins_with_plurality_NOG_annotation	consensus_pfam	pfam_desc	prots_with_plurality_pfam_annotation	proteins_in_GVOG
GVOG00001	31	no_annot	no_annot	no_annot	no_annot	26	no_annot	no_annot	31	31
GVOG00002	74	no_annot	no_annot	no_annot	no_annot	64	no_annot	no_annot	74	74
GVOG00003	151	no_annot	no_annot	no_annot	no_annot	136	no_annot	no_annot	151	151
GVOG00004	83	arCOG05213	M	Cell wall/membrane/envelope biogenesis	Large-conductance mechanosensitive channel, MscL	44	PF01741	; MscL; Large-conductance mechanosensitive channel, MscL	55	83
GVOG00005	14	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	7	no_annot	no_annot	11	14
GVOG00006	33	no_annot	no_annot	no_annot	no_annot	31	no_annot	no_annot	33	33
GVOG00007	38	no_annot	no_annot	no_annot	no_annot	35	no_annot	no_annot	38	38
GVOG00008	62	KOG1981	A	RNA processing and modification	regulation of sperm capacitation	39	PF05794	; Tcp11; T-complex protein 11	40	62
GVOG00009	53	no_annot	no_annot	no_annot	no_annot	42	no_annot	no_annot	51	53
GVOG00010	16	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	16	16
GVOG00011	27	no_annot	no_annot	no_annot	no_annot	21	no_annot	no_annot	27	27
GVOG00012	75	no_annot	no_annot	no_annot	no_annot	66	no_annot	no_annot	74	75
GVOG00013	89	no_annot	no_annot	no_annot	no_annot	89	no_annot	no_annot	89	89
GVOG00014	16	no_annot	no_annot	no_annot	no_annot	15	no_annot	no_annot	16	16
GVOG00015	20	2QSRN	S	Function unknown	Chaperone of endosialidase	18	PF13884	; Peptidase_S74; Chaperone of endosialidase	17	20
GVOG00016	14	no_annot	no_annot	no_annot	no_annot	13	no_annot	no_annot	14	14
GVOG00017	21	no_annot	no_annot	no_annot	no_annot	21	no_annot	no_annot	21	21
GVOG00018	80	no_annot	no_annot	no_annot	no_annot	66	no_annot	no_annot	65	80
GVOG00019	40	no_annot	no_annot	no_annot	no_annot	35	no_annot	no_annot	40	40
GVOG00020	41	no_annot	no_annot	no_annot	no_annot	33	no_annot	no_annot	41	41
GVOG00021	49	no_annot	no_annot	no_annot	no_annot	46	no_annot	no_annot	49	49
GVOG00022	25	no_annot	no_annot	no_annot	no_annot	23	no_annot	no_annot	25	25
GVOG00023	47	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	15	no_annot	no_annot	46	47
GVOG00024	34	no_annot	no_annot	no_annot	no_annot	33	no_annot	no_annot	34	34
GVOG00025	27	no_annot	no_annot	no_annot	no_annot	25	no_annot	no_annot	27	27
GVOG00026	64	KOG1816	O	Post-translational modification, protein turnover, and chaperones	ER-associated misfolded protein catabolic process	49	PF03152	Cdc48_2-like; UFD1; Ubiquitin fusion degradation protein UFD1	40	64
GVOG00027	14	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	14	14
GVOG00028	21	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	10	no_annot	no_annot	12	21
GVOG00029	19	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	19	19
GVOG00030	11	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	11	11
GVOG00031	14	no_annot	no_annot	no_annot	no_annot	12	no_annot	no_annot	13	14
GVOG00032	24	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	8	PF10528	PA14; GLEYA; GLEYA domain	13	24
GVOG00033	10	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	10	10
GVOG00034	19	no_annot	no_annot	no_annot	no_annot	16	PF11099	; M11L; Apoptosis regulator M11L like	18	19
GVOG00035	22	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	22	22
GVOG00036	12	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	12	12
GVOG00037	35	no_annot	no_annot	no_annot	no_annot	34	no_annot	no_annot	35	35
GVOG00038	33	no_annot	no_annot	no_annot	no_annot	33	no_annot	no_annot	33	33
GVOG00039	41	no_annot	no_annot	no_annot	no_annot	21	no_annot	no_annot	40	41
GVOG00040	19	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	9	no_annot	no_annot	19	19
GVOG00041	29	no_annot	no_annot	no_annot	no_annot	24	no_annot	no_annot	29	29
GVOG00042	11	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	11	11
GVOG00043	21	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	21	21
GVOG00044	37	no_annot	no_annot	no_annot	no_annot	30	no_annot	no_annot	37	37
GVOG00045	13	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	13	13
GVOG00046	69	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	29	no_annot	no_annot	55	69
GVOG00047	194	no_annot	no_annot	no_annot	no_annot	172	no_annot	no_annot	194	194
GVOG00048	26	no_annot	no_annot	no_annot	no_annot	23	no_annot	no_annot	26	26
GVOG00049	17	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	16	17
GVOG00050	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	1	no_annot	no_annot	7	8
GVOG00051	8	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	8	8
GVOG00052	28	no_annot	no_annot	no_annot	no_annot	15	no_annot	no_annot	28	28
GVOG00053	28	COG3236	O	Post-translational modification, protein turnover, and chaperones	hydrolase activity, hydrolyzing N-glycosyl compounds	19	no_consensus_PFAM	no_consensus_PFAM	14	28
GVOG00054	49	no_annot	no_annot	no_annot	no_annot	47	no_annot	no_annot	49	49
GVOG00055	15	no_annot	no_annot	no_annot	no_annot	13	no_annot	no_annot	15	15
GVOG00056	15	no_annot	no_annot	no_annot	no_annot	13	no_annot	no_annot	15	15
GVOG00057	288	no_annot	no_annot	no_annot	no_annot	277	no_annot	no_annot	288	288
GVOG00058	47	no_annot	no_annot	no_annot	no_annot	45	no_annot	no_annot	47	47
GVOG00059	18	no_annot	no_annot	no_annot	no_annot	10	no_consensus_PFAM	no_consensus_PFAM	6	18
GVOG00060	14	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	14	14
GVOG00061	39	no_annot	no_annot	no_annot	no_annot	32	no_annot	no_annot	39	39
GVOG00062	17	no_annot	no_annot	no_annot	no_annot	17	no_annot	no_annot	17	17
GVOG00063	17	no_annot	no_annot	no_annot	no_annot	16	no_annot	no_annot	17	17
GVOG00064	10	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	10	10
GVOG00065	10	KOG2042	O	Post-translational modification, protein turnover, and chaperones	ubiquitin-ubiquitin ligase activity	10	PF04564	RING; U-box; U-box domain	7	10
GVOG00066	30	no_annot	no_annot	no_annot	no_annot	24	no_annot	no_annot	30	30
GVOG00067	37	no_annot	no_annot	no_annot	no_annot	30	no_annot	no_annot	37	37
GVOG00068	44	no_annot	no_annot	no_annot	no_annot	43	no_annot	no_annot	44	44
GVOG00069	156	no_annot	no_annot	no_annot	no_annot	151	no_annot	no_annot	156	156
GVOG00070	26	KOG2916	J	Translation, ribosomal structure and biogenesis	negative regulation of translational initiation in response to stress	19	no_annot	no_annot	17	26
GVOG00071	38	no_annot	no_annot	no_annot	no_annot	37	no_annot	no_annot	37	38
GVOG00072	43	KOG1950	M	Cell wall/membrane/envelope biogenesis	glycogenin glucosyltransferase activity	37	no_consensus_PFAM	no_consensus_PFAM	21	43
GVOG00073	19	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	19	19
GVOG00074	15	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	9	15
GVOG00075	27	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	13	no_annot	no_annot	27	27
GVOG00076	9	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	9	9
GVOG00077	26	KOG4003	Q	Secondary metabolites biosynthesis, transport, and catabolism	nicotinamide metabolic process	18	PF00857	; Isochorismatase; Isochorismatase family	23	26
GVOG00078	77	no_annot	no_annot	no_annot	no_annot	67	no_annot	no_annot	76	77
GVOG00079	13	no_annot	no_annot	no_annot	no_annot	12	no_annot	no_annot	13	13
GVOG00080	32	no_annot	no_annot	no_annot	no_annot	32	no_annot	no_annot	32	32
GVOG00081	59	no_annot	no_annot	no_annot	no_annot	52	no_annot	no_annot	59	59
GVOG00082	37	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	7	PF02037	HeH; SAP; SAP domain	23	37
GVOG00083	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00084	14	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	14	14
GVOG00085	8	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	8	8
GVOG00086	7	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	7
GVOG00087	7	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	7	7
GVOG00088	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	2	no_annot	no_annot	8	8
GVOG00089	8	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	7	8
GVOG00090	7	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	7
GVOG00091	7	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	3	no_annot	no_annot	7	7
GVOG00092	7	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	7	7
GVOG00093	8	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	8	8
GVOG00094	7	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	7
GVOG00095	41	no_annot	no_annot	no_annot	no_annot	36	no_annot	no_annot	41	41
GVOG00096	35	no_annot	no_annot	no_annot	no_annot	31	no_annot	no_annot	35	35
GVOG00097	10	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	10	10
GVOG00098	16	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	16	16
GVOG00099	17	no_annot	no_annot	no_annot	no_annot	17	no_annot	no_annot	17	17
GVOG00100	43	no_annot	no_annot	no_annot	no_annot	38	no_annot	no_annot	43	43
GVOG00101	38	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	18	no_consensus_PFAM	no_consensus_PFAM	16	38
GVOG00102	22	no_annot	no_annot	no_annot	no_annot	22	no_annot	no_annot	22	22
GVOG00103	12	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	12	12
GVOG00104	19	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	19	19
GVOG00105	9	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	9	9
GVOG00106	9	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	9	9
GVOG00107	33	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	28	33
