GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00004	45	45	XhXr	sp|A0A7H0DN51|PG079_MONPV Protein OPG079
VOG00048	56	56	XhXpXrXs	sp|Q01299|POLG_TBEVH Genome polyprotein
VOG00066	44	35	XhXp	sp|P87607|PG021_CWPXG Host range factor p28
VOG00068	4	4	XhXr	sp|Q9DSN9|POLN_ABPVR Replicase polyprotein
VOG00084	8	8	XhXr	sp|O94489|EF3_SCHPO Elongation factor 3
VOG00143	20	20	Xh	sp|Q9CNJ4|PSTS_PASMU Phosphate-binding protein PstS
VOG00148	3	3	XhXpXrXs	sp|Q8JV21|POLG_LJUV1 Genome polyprotein
VOG00168	101	100	XhXr	sp|P48311|DPOL_ADE40 DNA polymerase
VOG00170	18	18	Xp	sp|A0A0S0MVI5|GLYDT_BPPAM Glycinyltransferase
VOG00193	7	6	XhXpXrXs	sp|P03527|SIGM3_REOVD Outer capsid protein sigma-3
VOG00217	67	67	Xh	sp|P41453|LEF3_NPVAC Late expression factor 3
VOG00219	2	2	XhXr	sp|Q58294|RFCL_METJA Replication factor C large subunit
VOG00222	6	3	XrXs	sp|O11840|CAPSD_BNYVS Capsid readthrough protein
VOG00260	57	57	Xh	sp|Q16774|KGUA_HUMAN Guanylate kinase
VOG00261	16	16	Xs	sp|Q83050|CPM_LIYV9 Minor capsid protein
VOG00269	2	2	XhXpXr	sp|P36304|POLN_KYMVJ Non-structural replication polyprotein
VOG00281	6	6	XrXs	sp|Q9JGU0|PHOSP_NCMV Phosphoprotein
VOG00286	77	77	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG00326	83	13	XhXp	sp|Q5I146|PTPH2_MDBVW Tyrosine phosphatase H2
VOG00351	2	2	XhXr	sp|P0A551|DPO1_MYCBO DNA polymerase I
VOG00372	2	2	XhXs	sp|P19061|BP07_BPT4 Baseplate wedge protein gp7
VOG00375	2	2	XhXrXs	sp|P36309|POLG_ASGVP Genome polyprotein
VOG00413	18	18	Xr	sp|P68675|VHED_XANCP Phi-Lf prophage-derived helix-destabilizing protein
VOG00420	3	2	Xh	sp|P70645|BLMH_RAT Bleomycin hydrolase
VOG00453	6	6	Xp	sp|F5H8Q3|UL148_HCMVM Membrane protein UL148
VOG00481	1605	1594	Xs	sp|D3WAD2|TMP_BPLP2 Probable tape measure protein
VOG00488	231	225	XhXpXs	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12
VOG00490	13	13	XhXp	sp|A0A7H0DN03|PG029_MONPV IFN signaling evasion protein OPG029
VOG00509	16	15	Xh	sp|Q0I7J2|PSBA1_SYNS3 Photosystem II protein D1 1
VOG00535	4	2	XhXp	sp|P05137|NS3A_IBVM Non-structural protein 3a
VOG00567	103	100	XhXpXs	sp|O39619|CAPSH_ADECR Hexon protein
VOG00570	14	13	XhXp	sp|Q64902|X_ASHV Protein X
VOG00580	2	2	Xh	sp|P00579|RPOD_ECOLI RNA polymerase sigma factor RpoD
VOG00581	2	2	Xh	sp|P0CC17|OXLA_BOTAT L-amino-acid oxidase
VOG00583	3	3	Xr	sp|P03008|TNP3_ECOLX Transposase for transposon Tn3
VOG00603	2	2	XhXp	sp|P08764|T3RE_BPP1 Type III restriction-modification enzyme EcoPI Res subunit
VOG00643	3	2	XhXpXr	sp|P0C6U0|R1A_CVBM Replicase polyprotein 1a
VOG00717	10	10	XhXr	sp|P25479|VPP_BPP2 Terminase, ATPase subunit
VOG00722	7	7	XhXp	sp|Q9JFS4|KBTB2_ECTVM Kelch repeat and BTB domain-containing protein 2
VOG00740	69	41	Xr	sp|Q06427|PHOSP_NDVU2 Phosphoprotein
VOG00742	2	2	Xh	sp|Q5UQY9|YR896_MIMIV Putative ankyrin repeat protein R896
VOG00785	41	41	XhXpXs	sp|P0DOM3|PG086_VAR67 Entry-fusion complex protein OPG086
VOG00835	5	5	XhXr	sp|O73564|P2A_SBMVA Polyprotein P2A
VOG00842	2	2	XhXs	sp|B2BNE9|VP7_AQRVG Outer capsid protein VP7
VOG00853	795	792	Xr	sp|P03688|VRPO_LAMBD Replication protein O
VOG00892	27	16	XhXr	sp|Q68772|RPOA_SHFV Replicase polyprotein 1ab
VOG00942	5	5	Xh	sp|Q9J519|V216_FOWPN Putative ankyrin repeat protein FPV216
