Query	Query_name	Query_accession	Target_name	Target_accession	Evalue	score	bias	dom_Evalue	dom_score	dom_bias	exp	reg	clu	ov	env	dom	rep	inc	start	end	strand	misc
SSJD_D22_6_30_4_contig_2	SSJD_D22_6_30_4_contig_2_77	-	VOG00066	-	9.2e-16	57.2	6.9	9.2e-16	57.2	6.9	4.6	2	2	0	2	2	2	1	59834	61723	-1	ID=2_77;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=5bp;gc_cont=0.338
Tupanvirus_soda_lake	Tupanvirus_soda_lake_412	-	VOG00084	-	1.6e-80	270.6	2.3	1e-30	105.7	0.0	4.0	3	1	1	4	4	4	4	471867	473519	1	ID=1_412;partial=00;start_type=TTG;rbs_motif=TATA;rbs_spacer=8bp;gc_cont=0.294
GD2017_2_strous	GD2017_2_strous_741	-	VOG00084	-	2e-75	253.7	3.2	3.6e-28	97.3	0.1	4.0	3	1	1	4	4	4	4	814862	816481	-1	ID=1_741;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=15bp;gc_cont=0.307
ALT_072018_38_16	ALT_072018_38_16_90	-	VOG00084	-	8e-16	56.4	0.0	1.2e-15	55.8	0.0	1.2	1	0	0	1	1	1	1	88196	89863	1	ID=1_90;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=7bp;gc_cont=0.374
AB_072018	AB_072018_341	-	VOG00084	-	1.1e-15	56.0	0.0	3e-08	31.3	0.0	2.1	1	1	1	2	2	2	2	406734	408494	1	ID=1_341;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
Hydrivirus	Hydrivirus_638	-	VOG00084	-	9.3e-14	49.6	3.6	0.00011	19.6	0.0	3.9	3	1	0	3	3	3	3	655398	657173	-1	ID=1_638;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=3bp;gc_cont=0.352
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1084	-	VOG00326	-	6.2e-57	192.2	6.0	1.4e-56	191.1	6.0	1.5	1	1	0	1	1	1	1	1233866	1234879	1	ID=1_1084;partial=00;start_type=ATG;rbs_motif=ATTTA;rbs_spacer=7bp;gc_cont=0.317
Tupanvirus_soda_lake	Tupanvirus_soda_lake_273	-	VOG00581	-	0	1066.8	23.8	0	1066.6	23.8	1.0	1	0	0	1	1	1	1	286024	287433	-1	ID=1_273;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=8bp;gc_cont=0.292
GD2017_2_strous	GD2017_2_strous_890	-	VOG00581	-	1.1e-224	745.7	18.9	1.2e-224	745.5	18.9	1.0	1	0	0	1	1	1	1	994909	996096	1	ID=1_890;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=4bp;gc_cont=0.299
GD2017_2_strous	GD2017_2_strous_1106	-	VOG00742	-	4.2e-150	498.5	57.0	5.4e-57	192.4	14.3	4.0	1	1	3	4	4	4	4	1219560	1220999	1	ID=1_1106;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.328
GD2017-2_urea	GD2017-2_urea_129	-	VOG00742	-	2.2e-62	210.2	21.4	2.9e-21	75.0	0.7	3.3	1	1	3	4	4	4	4	124397	125848	1	ID=1_129;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.424
Tupanvirus_soda_lake	Tupanvirus_soda_lake_55	-	VOG00742	-	6.5e-44	149.5	17.3	7.5e-21	73.6	2.6	2.3	1	1	2	3	3	3	3	51198	52241	-1	ID=1_55;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=6bp;gc_cont=0.300
GD2017_2_strous	GD2017_2_strous_989	-	VOG00742	-	1e-34	119.3	6.5	1e-34	119.3	6.5	1.7	1	1	0	1	1	1	1	1106977	1107861	1	ID=1_989;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.286
Tupanvirus_soda_lake	Tupanvirus_soda_lake_612	-	VOG00742	-	2.9e-34	117.7	18.9	1.4e-21	76.0	5.9	2.5	1	1	1	2	2	2	2	726077	727234	-1	ID=1_612;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.271
Tupanvirus_soda_lake	Tupanvirus_soda_lake_184	-	VOG00742	-	7.7e-34	116.3	4.6	1.1e-33	115.8	4.6	1.2	1	0	0	1	1	1	1	179884	180786	-1	ID=1_184;partial=00;start_type=ATG;rbs_motif=ATAT;rbs_spacer=12bp;gc_cont=0.293
GD2017_2_strous	GD2017_2_strous_220	-	VOG00742	-	3.8e-32	110.8	17.0	2e-31	108.4	14.5	2.2	1	1	0	1	1	1	1	220852	221706	-1	ID=1_220;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.295
Tupanvirus_soda_lake	Tupanvirus_soda_lake_907	-	VOG00742	-	9.5e-31	106.2	15.0	1e-29	102.8	14.5	2.0	1	1	0	1	1	1	1	1056884	1057750	1	ID=1_907;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.275
GD2017_2_strous	GD2017_2_strous_528	-	VOG00742	-	5.2e-30	103.8	6.3	8.2e-24	83.4	1.5	2.4	1	1	1	2	2	2	2	559779	560936	1	ID=1_528;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=14bp;gc_cont=0.293
GD2017-2_urea	GD2017-2_urea_58	-	VOG00742	-	2.5e-29	101.5	7.1	2.2e-15	55.7	1.1	3.1	1	1	1	2	2	2	2	46540	48129	1	ID=1_58;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=13bp;gc_cont=0.391
Pithovirus_LCDPAC01.fna|MK500280.1	Pithovirus_LCDPAC01.fna|MK500280.1_20	-	VOG00742	-	2.5e-29	101.5	1.6	2e-12	45.9	0.1	2.9	1	1	2	3	3	3	3	16447	17667	1	ID=9_20;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=8bp;gc_cont=0.377
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1117	-	VOG00742	-	1.4e-28	99.0	36.8	1e-13	50.2	11.1	3.1	1	1	2	3	3	3	3	1268974	1270443	-1	ID=1_1117;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=7bp;gc_cont=0.320
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1116	-	VOG00742	-	3.1e-28	97.9	34.5	1.6e-18	66.0	9.0	2.7	1	1	2	3	3	3	2	1267380	1268903	-1	ID=1_1116;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.308
Pithovirus_LCDPAC01.fna|MK500287.1	Pithovirus_LCDPAC01.fna|MK500287.1_4	-	VOG00742	-	2.9e-27	94.7	3.8	2.3e-17	62.2	0.4	2.1	1	1	1	2	2	2	2	2290	3030	1	ID=3_4;partial=00;start_type=TTG;rbs_motif=AAAAA;rbs_spacer=13bp;gc_cont=0.377
